date,lat,lon
2024-09-27T08:03:01.000Z,45.13211441,13.59091473
2024-09-27T06:02:00.000Z,45.13241959,13.59177971
2024-09-27T04:02:03.000Z,45.13251877,13.59109688
2024-09-27T02:01:05.000Z,45.13259125,13.59170532
2024-09-27T00:00:00.000Z,45.13226318,13.59150314
2024-09-26T21:59:04.000Z,45.13227844,13.59154797
2024-09-26T17:57:08.000Z,45.13222122,13.59154701
2024-09-26T15:56:03.000Z,45.1321907,13.59162807
2024-09-26T13:55:00.000Z,45.13256073,13.59150791
2024-09-25T15:43:00.000Z,45.13208389,13.59161663
2024-09-25T13:44:01.000Z,45.13232803,13.59156704
2024-09-25T11:43:01.000Z,45.13224411,13.59162045
2024-09-25T09:43:09.000Z,45.13206482,13.59157372
2024-09-25T07:42:09.000Z,45.13223648,13.59160137
2024-09-25T05:40:08.000Z,45.13222504,13.59168816
2024-09-25T03:40:01.000Z,45.13221359,13.59170628
2024-09-25T01:39:06.000Z,45.13241577,13.59164143
2024-09-24T23:39:06.000Z,45.13102341,13.59109879
2024-09-24T21:38:01.000Z,45.13231659,13.59153461
2024-09-24T19:36:02.000Z,45.13211823,13.59159184
2024-09-24T17:36:03.000Z,45.13221741,13.591465
2024-09-24T15:35:04.000Z,45.13225555,13.59151649
2024-09-24T11:34:09.000Z,45.13217926,13.59188461
2024-09-24T09:33:00.000Z,45.13222122,13.59173012
2024-09-24T07:32:04.000Z,45.13233185,13.59180546
2024-09-24T05:31:07.000Z,45.13248825,13.59168339
2024-09-24T03:31:05.000Z,45.13240814,13.59174538
2024-09-24T01:31:02.000Z,45.13212967,13.59162998
2024-09-23T23:31:04.000Z,45.13196945,13.59168339
2024-09-23T21:30:09.000Z,45.13234329,13.5916853
2024-09-23T19:29:09.000Z,45.13231659,13.59128666
2024-09-23T17:29:09.000Z,45.13218689,13.59122181
2024-09-23T15:29:03.000Z,45.13231659,13.59151363
2024-09-23T13:28:04.000Z,45.132267,13.59154987
2024-09-23T11:28:07.000Z,45.13225555,13.59147358
2024-09-23T09:27:08.000Z,45.13223648,13.59144688
2024-09-23T07:26:02.000Z,45.13238144,13.59149837
2024-09-23T05:25:08.000Z,45.13220215,13.59144974
2024-09-23T03:25:08.000Z,45.13220978,13.59152699
2024-09-23T01:25:09.000Z,45.132267,13.59151459
2024-09-22T23:25:02.000Z,45.132164,13.59144306
2024-09-22T21:24:02.000Z,45.13225937,13.59155846
2024-09-22T19:24:00.000Z,45.13211823,13.59148026
2024-09-22T17:24:01.000Z,45.13220596,13.59140015
2024-09-22T15:24:08.000Z,45.13212967,13.59149647
2024-09-22T13:23:00.000Z,45.13266373,13.59127998
2024-09-22T11:23:06.000Z,45.13214493,13.59152508
2024-09-22T09:22:01.000Z,45.13224411,13.59146786
2024-09-22T07:22:08.000Z,45.13222885,13.59144211
2024-09-22T05:21:06.000Z,45.13225174,13.59136677
2024-09-22T03:21:09.000Z,45.13227844,13.59131336
2024-09-22T01:21:09.000Z,45.13235092,13.59170818
2024-09-21T23:21:06.000Z,45.13235474,13.59148979
2024-09-21T21:21:02.000Z,45.13217163,13.5914135
2024-09-21T19:20:06.000Z,45.13225937,13.59165287
2024-09-21T17:20:09.000Z,45.132061,13.5917902
2024-09-21T15:20:09.000Z,45.13212204,13.59162331
2024-09-21T13:19:08.000Z,45.13186264,13.59115505
2024-09-21T11:18:09.000Z,45.1321907,13.59153652
2024-09-21T09:17:01.000Z,45.13216019,13.59154034
2024-09-21T07:18:05.000Z,45.13223267,13.59146786
2024-09-21T05:17:02.000Z,45.13216019,13.59140015
2024-09-21T03:16:01.000Z,45.1322403,13.59147358
2024-09-21T01:15:08.000Z,45.13218307,13.59149456
2024-09-20T23:15:08.000Z,45.13220215,13.59152317
2024-09-20T21:14:09.000Z,45.13211823,13.59156132
2024-09-20T19:15:01.000Z,45.13225174,13.59143829
2024-09-20T17:14:08.000Z,45.13219833,13.59153461
2024-09-20T15:14:03.000Z,45.13223267,13.59144688
2024-09-20T13:13:05.000Z,45.13222122,13.59173965
2024-09-19T21:04:09.000Z,45.13228989,13.59157467
2024-09-19T19:04:05.000Z,45.13227463,13.59140873
2024-09-19T17:03:00.000Z,45.13214111,13.5914669
2024-09-19T15:03:00.000Z,45.13220978,13.59156322
2024-09-19T13:02:05.000Z,45.13217163,13.59165192
